Cycle,Odd-Even,Variable,Mean,Median,Std,Min,Max,Shannon Entropy,Sample Entropy,Permutation Entropy,Spectral Entropy,Approximate Entropy,Higuchi Fractal Dimension,Katz Fractal Dimension,Petrosian Fractal Dimension,Lempel-Ziv complexity,Hurts exponent
20d,Even,"SW Proton Density, N/cm^3",6.914282244269586,6.0,4.192537511149027,0.6,42.5,2.9318327637788006,1.3831815015092213,0.9765375326642756,0.9341106320499449,1.647423992121745,1.8433875004415925,3.0258839803478166,1.0250709337838915,822,0.677920818162198
21u,odd,"SW Proton Density, N/cm^3",8.031170166545982,7.1,4.698623845325665,0.4,33.9,2.7661878153904174,1.6158775343462104,0.9738226962591505,0.9447342494150042,1.5857677485650612,1.861460912604419,3.3548734736095946,1.0272855354017718,451,0.5972761138956874
21d,odd,"SW Proton Density, N/cm^3",7.824529553679133,7.378999999999998,4.363566564076021,1.1,48.6,3.152196958778621,1.3510677746049424,0.9845410381605966,0.9527661167670177,1.6084991755493823,1.8642159710363122,2.9488600034768613,1.0262938089652611,722,0.6071475471158339
22u,Even,"SW Proton Density, N/cm^3",7.922560283687944,6.871499999999994,4.3611509429717135,1.3,38.5,2.8300384797637492,1.2897115695630466,0.984617093172506,0.9346400710701822,1.4591630751236924,1.8589028668152487,3.149299290211727,1.0292747189099902,349,0.6493120020063387
22d,Even,"SW Proton Density, N/cm^3",8.474641930251417,7.9265000000000025,4.7540335327335175,0.7,42.0,3.124216838358558,1.3237221859416526,0.9815966501113421,0.9419567209546059,1.5879452869932424,1.8418481126641464,3.352644995649782,1.0259941564103832,739,0.5983276804357367
23u,odd,"SW Proton Density, N/cm^3",6.8934825429911415,5.9,4.215463620102949,0.5,45.9,2.8442809972741676,1.5536222841336669,0.9749347081999458,0.9515678224266171,1.657640498699812,1.8762858876947095,2.8855228038443066,1.0258806772846238,581,0.6031725926866568
23d,odd,"SW Proton Density, N/cm^3",5.784009273570325,4.6,3.9292760073494133,0.1,42.3,2.9396401575586104,1.2602411734416838,0.9582933807224636,0.9106577416188506,1.5626779938517354,1.8671498183723287,2.986262891599579,1.0230282737777316,706,0.5377323283686806
24u,Even,"SW Proton Density, N/cm^3",5.546201232032854,4.8,3.3225986798317737,0.3,33.6,2.83883102008141,1.5966319584120898,0.9731674565575458,0.9371853103736765,1.6666886630116382,1.8829211162308528,3.0094270630357065,1.0256339209019723,542,0.5941428015923494
24d,Even,"SW Proton Density, N/cm^3",6.649876388218252,5.8,3.8739435827457895,0.4,31.8,2.869441401111042,1.5147663199229515,0.9693831609331938,0.9247089289770185,1.6550292605832704,1.8656655566346907,3.3558267455769535,1.0251348449693387,609,0.5723813987571759
25u,odd,"SW Proton Density, N/cm^3",6.312959818902094,5.3,3.8233378552894335,0.3,36.6,2.8080243394163604,1.5067101611983837,0.9797421299243312,0.9358577530670931,1.6298372512582615,1.8548873519187716,3.284898974891384,1.0271157746954007,523,0.5891380285113442
20u,Even,"SW Plasma Speed, km/s",424.585016025641,410.0,76.96351594233882,262.0,750.0,2.7632460277479765,1.6533760008902227,0.9691170841644134,0.8940777123516025,1.5961175643806262,1.7859545583624608,3.890384034366943,1.0266783058499203,729,0.7231907248494573
20d,Even,"SW Plasma Speed, km/s",456.2590933971947,430.9,105.58914653220546,193.0,923.0,2.9453654235039304,1.4023964176056853,0.9390572244823535,0.8212268378744,1.5713653099236708,1.7066963198530478,3.7227884283954076,1.0209922206361477,1599,0.6644738161270551
21u,odd,"SW Plasma Speed, km/s",424.9832874728458,404.0,88.14019778325692,263.0,916.0,2.7805022508240147,1.332615895020504,0.9252298179795504,0.8257911686521197,1.4301996588101722,1.695219897604411,3.5529415838685536,1.0224845362775767,807,0.7811045426170844
21d,odd,"SW Plasma Speed, km/s",444.899927623643,436.0,89.71145153097928,260.0,835.0,3.0550252547371253,1.532663874049132,0.9501384154108143,0.8451176166795449,1.6051581506750514,1.7215543524765027,3.3759236368642767,1.022531232484914,1370,0.7827694809673873
22u,Even,"SW Plasma Speed, km/s",435.4382092198582,428.0,80.87602902243106,279.0,894.0,2.911630433032283,1.4368705058206108,0.9616584340894482,0.8442845223682799,1.435103943966745,1.751011378364617,3.020236867022742,1.0260998500260112,671,0.7940097405220574
